customer_id,name,latitude,longitude,job_type,duration,mass,size,time_start,time_end,task_fulfiller,estimated_time_of_arrival,actual_time_of_arrival,task_status
c000001,崙坪工業區,24.9851,121.1609,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000002,平鎮工業區,24.90362,121.19982,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000003,高榮工業區,24.95585,121.16071,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000004,龍潭工業區,24.88537,121.19248,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000005,樹林工業區,25.00199,121.41825,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000006,五股工業區,25.06682,121.45305,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000007,吉成工業區,24.97739,121.54908,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000008,幼獅工業區,24.92232,121.17106,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000009,新竹工業區東區,24.86177,121.01764,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000010,林口工二工業區,25.08059,121.39958,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000011,林口工業區管理處,25.05457,121.37601,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000012,土城工業區,24.96493,121.42618,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000013,內湖輕工業區,25.07069,121.603,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000014,永豐工業區,24.97935,121.47014,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000015,北部特定工業區,25.0317,121.30366,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000016,觀音工業區,25.05904,121.11873,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000017,長發工業區,25.05811,121.18092,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000018,家美工業區,24.99918,121.4972,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000019,龍壽工業區,25.01703,121.39622,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000020,南崁工業區,25.05009,121.28457,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000021,香山工業區,24.79418,120.9353,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000022,瑞芳工業區,25.09813,121.78863,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000023,中壢工業區,24.97859,121.23908,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000024,遠東工業區,24.9845,121.53478,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000025,林口工業區,25.07935,121.40084,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000026,大興工業區,24.90326,121.13082,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000027,龜山工業區,24.98485,121.32277,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000028,大園工業區,25.07299,121.1864,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000029,林口工業區服務中心,25.05724,121.37408,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000030,大武崙工業區,25.14553,121.69959,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000031,建國工業區,24.93885,121.28528,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000032,翡翠工業區,25.06481,121.4304,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000033,大潭工業區,25.02379,121.04703,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000034,壽山工業區,24.98271,121.34844,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000035,永安工業區,24.98585,121.03108,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000036,三興工業區,25.01514,121.39971,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000037,頂崁工業區,25.05599,121.47144,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000038,六堵工業區,25.08805,121.70163,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
c000039,斗六工業區,23.71782,120.59482,delivery,200,100,1,2020-08-25T01:00:00Z,2020-08-25T09:00:00Z,,,,
